province,census_division_name,city,odhf_facility_type,facilities
qc,Brome-Missisquoi,cowansville,Nursing and residential care facilities,1
qc,Les Appalaches,disraeli,Nursing and residential care facilities,1
qc,Le Granit,lambton,Ambulatory health care services,1
qc,Kamouraska,saint-pascal,Ambulatory health care services,2
ns,Shelburne,shelburne,Hospitals,1
on,Thunder Bay,nipigon,Hospitals,1
on,Perth,saint marys,Nursing and residential care facilities,2
yt,Yukon,whitehorse,nursing and residential care facilities,2
on,Algoma,richards landing,Hospitals,1
ab,Division No. 11,devon,Hospitals,1
on,Chatham-Kent,chatham,Hospitals,1
bc,Thompson-Nicola,ashcroft,Hospitals,1
mb,Division No. 14,teulon,Hospitals,1
bc,North Okanagan,lumby,Nursing and residential care facilities,1
on,Bruce,cargill,Nursing and residential care facilities,1
on,Timiskaming,englehart,Nursing and residential care facilities,1
qc,Joliette,saint-charles-borromée,Hospitals,2
ab,Division No.  6,olds,Hospitals,1
sk,Division No.  3,willow bunch,Ambulatory health care services,1
on,Peel,brampton,Ambulatory health care services,11
pe,Queens,crapaud,Nursing and residential care facilities,1
on,Cochrane,cochrane,Ambulatory health care services,4
on,Leeds and Grenville,merrickville,Ambulatory health care services,1
nl,Unknown,lascie,Ambulatory health care services,1
ab,Division No. 15,jasper,Hospitals,1
ns,Yarmouth,argyle,Nursing and residential care facilities,1
bc,Peace River,fort st john,Ambulatory health care services,1
on,Waterloo,waterloo,Nursing and residential care facilities,11
bc,Greater Vancouver,coquitlam,Hospitals,1
bc,Kootenay Boundary,trail,Nursing and residential care facilities,2
pe,Prince,o'leary,Nursing and residential care facilities,2
nl,Division No.  1,bell island,Hospitals,1
bc,Skeena-Queen Charlotte,queen charlotte,Hospitals,2
qc,Les Basques,saint-jean-de-dieu,Ambulatory health care services,2
nb,Gloucester,caraquet,Hospitals,1
mb,Unknown,winnipeg,Nursing and residential care facilities,35
bc,Fraser-Fort George,prince george,Ambulatory health care services,3
ns,Victoria,baddeck,Hospitals,1
sk,Division No. 16,borden,Ambulatory health care services,1
on,Leeds and Grenville,kemptville,Hospitals,1
on,Durham,beaverton,Ambulatory health care services,1
nl,Division No.  7,bonavista,Hospitals,1
on,Elgin,dutton,Nursing and residential care facilities,1
qc,Québec,sainte-foy,Hospitals,1
ab,Division No.  3,cardston,Hospitals,1
qc,Les Collines-de-l'Outaouais,la pêche,Ambulatory health care services,1
on,Nipissing,whitney,Ambulatory health care services,1
on,Brant,ohsweken,Nursing and residential care facilities,1
on,Halton,milton,Hospitals,1
on,Simcoe,elmvale,Nursing and residential care facilities,1
qc,Avignon,maria,Hospitals,1
nb,Westmorland,moncton,Nursing and residential care facilities,48
sk,Division No. 17,loon lake,Hospitals,1
bc,Unknown,vernon,Nursing and residential care facilities,2
sk,Division No.  6,regina,Nursing and residential care facilities,1
on,Niagara,st. catharines,Ambulatory health care services,1
bc,Capital,victoria,Ambulatory health care services,21
on,Oxford,tillsonburg,Ambulatory health care services,1
qc,Nord-du-Québec,eastmain,Ambulatory health care services,2
qc,Rouville,saint-césaire,Ambulatory health care services,1
qc,Marguerite-D'Youville,contrecoeur,Ambulatory health care services,1
qc,Le Haut-Saint-Laurent,ormstown,Nursing and residential care facilities,1
on,Peel,mississauga,Ambulatory health care services,19
nl,Division No.  1,whitbourne,Ambulatory health care services,1
on,Simcoe,midland,Nursing and residential care facilities,5
qc,La Matanie,baie-des-sables,Ambulatory health care services,1
sk,Division No. 17,lloydminster,Ambulatory health care services,1
sk,Division No.  6,lumsden,Nursing and residential care facilities,1
mb,Division No. 15,,Ambulatory health care services,1
qc,Thérèse-De Blainville,blainville,Nursing and residential care facilities,2
on,Cochrane,opasatika,Nursing and residential care facilities,1
pe,Prince,alberton,Hospitals,2
qc,La Vallée-de-l'Or,senneterre,Hospitals,1
sk,Division No.  5,saltcoats,Nursing and residential care facilities,1
pe,Queens,charlottetown,Ambulatory health care services,11
qc,Le Granit,lac-mégantic,Nursing and residential care facilities,2
pe,Queens,clinton,Nursing and residential care facilities,1
qc,Beauce-Sartigan,la guadeloupe,Ambulatory health care services,1
on,Oxford,tillsonburg,Hospitals,1
bc,Greater Vancouver,white rock,Hospitals,1
qc,Sherbrooke,sherbrooke,Ambulatory health care services,10
ns,Colchester,debert,Nursing and residential care facilities,1
qc,Roussillon,châteauguay,Ambulatory health care services,4
on,Prescott and Russell,saint isidore,Nursing and residential care facilities,1
nl,Division No.  6,grand falls-windsor,Ambulatory health care services,1
qc,Portneuf,pont-rouge,Nursing and residential care facilities,1
sk,Division No.  7,hodgeville,Ambulatory health care services,1
qc,Argenteuil,lachute,Hospitals,2
ab,Unknown,trochu,Hospitals,1
bc,Unknown,port moody,Nursing and residential care facilities,1
qc,Les Basques,trois-pistoles,Hospitals,1
on,Renfrew,beachburg,Nursing and residential care facilities,1
sk,Division No. 11,lanigan,Hospitals,1
on,Wellington,mount forest,Hospitals,1
on,Perth,stratford,Ambulatory health care services,10
qc,Montréal,dollard-des ormeaux,Nursing and residential care facilities,1
qc,Québec,québec city,Hospitals,5
ab,Division No.  7,killam,Hospitals,1
on,Halton,oakville,Hospitals,1
on,Kenora,vermilion bay,Ambulatory health care services,2
on,Kenora,ignace,Ambulatory health care services,1
qc,La Mitis,mont-joli,Ambulatory health care services,4
qc,Montréal,montréal,Hospitals,88
qc,Les Moulins,mascouche,Nursing and residential care facilities,1
qc,Le Val-Saint-François,cleveland,Nursing and residential care facilities,1
nb,Carleton,woodstock,Nursing and residential care facilities,1
sk,Division No.  3,vanguard,Ambulatory health care services,1
bc,Greater Vancouver,surrey,Ambulatory health care services,24
qc,Communauté maritime des Îles-de-la-Madeleine,grosse-île,Ambulatory health care services,1
qc,Pontiac,rapides-des-joachims,Ambulatory health care services,1
qc,Manicouagan,baie-trinité,Ambulatory health care services,1
on,Haldimand-Norfolk,hagersville,Hospitals,1
on,Unknown,niagara falls,Ambulatory health care services,5
sk,Unknown,ponteix,Nursing and residential care facilities,1
qc,Montréal,montréal,Nursing and residential care facilities,144
on,Wellington,listowel,Nursing and residential care facilities,1
mb,Division No. 21,,Hospitals,2
sk,Division No.  5,grenfell,Ambulatory health care services,1
bc,Bulkley-Nechako,vanderhoof,Ambulatory health care services,1
sk,Division No.  5,broadview,Nursing and residential care facilities,1
on,Essex,leamington,Hospitals,1
on,Kenora,sioux lookout,Ambulatory health care services,2
on,Grey,owen sound,Hospitals,1
mb,Division No.  2,steinbach,Hospitals,1
on,Perth,st marys,Hospitals,1
qc,La Côte-de-Beaupré,beaupré,Hospitals,1
ab,Division No. 11,st albert,Hospitals,1
on,Middlesex,southwold,Ambulatory health care services,1
bc,Cariboo,williams lake,Nursing and residential care facilities,7
on,"Stormont, Dundas and Glengarry",williamsburg,Ambulatory health care services,2
ab,Unknown,ponoka,Nursing and residential care facilities,1
sk,Division No. 10,wynyard,Ambulatory health care services,1
qc,Le Haut-Saint-Laurent,saint-chrysostome,Ambulatory health care services,1
qc,Minganie--Le Golfe-du-Saint-Laurent,bonne-espérance,Ambulatory health care services,1
on,Hamilton,hamilton (dundas),Nursing and residential care facilities,1
sk,Division No.  1,gainsborough,Nursing and residential care facilities,1
on,Lambton,sarnia,Hospitals,1
sk,Division No.  1,oxbow,Ambulatory health care services,1
sk,Division No. 11,nokomis,Nursing and residential care facilities,1
nl,Unknown,mount carmel,Ambulatory health care services,1
qc,Mirabel,mirabel,Nursing and residential care facilities,1
on,Halton,halton hills,Ambulatory health care services,3
qc,La Matanie,les méchins,Ambulatory health care services,1
ns,Yarmouth,lower west pubnico,Nursing and residential care facilities,1
qc,Lotbinière,saint-flavien,Nursing and residential care facilities,1
qc,Drummond,nicolet,Nursing and residential care facilities,1
bc,Central Okanagan,kelowna,Ambulatory health care services,7
sk,Division No. 15,st brieux,Ambulatory health care services,1
qc,Robert-Cliche,saint-joseph-de-beauce,Ambulatory health care services,1
bc,Unknown,new westminster,Nursing and residential care facilities,1
ab,Unknown,grande prairie,Nursing and residential care facilities,2
ns,Halifax,sackville,Nursing and residential care facilities,1
bc,Columbia-Shuswap,golden,Nursing and residential care facilities,1
ab,Unknown,galahad,Nursing and residential care facilities,1
on,Nipissing,garden village,Ambulatory health care services,1
nl,Unknown,mount pearl,Nursing and residential care facilities,1
on,Bruce,wiarton,Nursing and residential care facilities,1
qc,Unknown,alma,Hospitals,1
mb,Division No. 15,shoal lake,Hospitals,1
bc,Unknown,agassiz,Nursing and residential care facilities,1
on,Muskoka,huntsville,Nursing and residential care facilities,5
ns,Lunenburg,mahone bay,Nursing and residential care facilities,1
sk,Division No.  8,kyle,Ambulatory health care services,1
on,Essex,windsor,Nursing and residential care facilities,26
qc,La Haute-Gaspésie,sainte-anne-des-monts,Nursing and residential care facilities,2
qc,Thérèse-De Blainville,blainville,Ambulatory health care services,2
bc,Unknown,fort langley,Nursing and residential care facilities,1
qc,Les Laurentides,mont-tremblant,Ambulatory health care services,1
nl,Division No.  1,placentia,Ambulatory health care services,1
mb,Division No. 15,neepawa,Hospitals,1
bc,Okanagan-Similkameen,penticton,Hospitals,1
qc,La Matanie,matane,Hospitals,1
qc,Robert-Cliche,beauceville,Ambulatory health care services,1
qc,Témiscamingue,notre-dame-du-nord,Ambulatory health care services,1
mb,Division No. 21,flin flon,Hospitals,1
qc,Charlevoix-Est,clermont,Nursing and residential care facilities,1
qc,Montréal,côte-saint-luc,Hospitals,1
qc,Roussillon,la prairie,Nursing and residential care facilities,1
on,Leeds and Grenville,athens,Nursing and residential care facilities,1
on,Bruce,saugeen shores,Nursing and residential care facilities,1
on,Simcoe,innisfil,Nursing and residential care facilities,1
ns,Annapolis,annapolis royal,Hospitals,1
pe,Prince,alberton,Nursing and residential care facilities,2
mb,Division No. 14,woodlands,Ambulatory health care services,1
yt,Yukon,whitehorse,Hospitals,1
ns,Guysborough,canso,Hospitals,1
mb,Division No. 23,,Ambulatory health care services,1
bc,Comox Valley,comox,Nursing and residential care facilities,1
qc,Nord-du-Québec,mistissini,Ambulatory health care services,2
ab,Division No.  5,strathmore,Hospitals,1
on,Unknown,ancaster,Nursing and residential care facilities,1
on,Niagara,niagara falls,Ambulatory health care services,4
on,Waterloo,kitchener,Ambulatory health care services,12
bc,Unknown,ashcroft,Nursing and residential care facilities,1
sk,Division No. 10,wynyard,Hospitals,1
ns,Colchester,bible hill,Nursing and residential care facilities,2
qc,Les Appalaches,thetford mines,Hospitals,1
sk,Unknown,rosetown,Hospitals,1
ns,Halifax,halifax,Hospitals,5
qc,Argenteuil,lachute,Ambulatory health care services,1
on,Hastings,madoc,Nursing and residential care facilities,3
mb,Division No. 22,thicket portage,Ambulatory health care services,1
on,Oxford,woodstock,Hospitals,1
sk,Division No. 10,wadena,Nursing and residential care facilities,1
on,Halton,burlington,Hospitals,1
ab,Division No. 10,viking,Hospitals,1
ns,Queens,liverpool,Hospitals,1
qc,Unknown,saint-jean-sur-richelieu,Hospitals,1
sk,Division No. 15,prince albert,Nursing and residential care facilities,2
nb,Westmorland,sackville,Nursing and residential care facilities,1
qc,Rivière-du-Loup,saint-épiphane,Ambulatory health care services,1
ab,Division No.  4,oyen,Hospitals,1
on,Middlesex,parkhill,Nursing and residential care facilities,1
ab,Unknown,mundare,Hospitals,1
sk,Unknown,mankota,Ambulatory health care services,1
nl,Division No.  7,clarenville,Hospitals,1
bc,Thompson-Nicola,merritt,Nursing and residential care facilities,2
ns,Cumberland,parrsboro,Hospitals,1
bc,Unknown,comox,Nursing and residential care facilities,1
qc,Lac-Saint-Jean-Est,métabetchouan,Hospitals,1
on,Brant,brantford,Hospitals,1
on,York,east gwillimbury,Nursing and residential care facilities,1
on,York,georgina,Ambulatory health care services,1
on,Manitoulin,wikwemikong,Ambulatory health care services,1
qc,Le Rocher-Percé,chandler,Ambulatory health care services,2
bc,Greater Vancouver,langley,Ambulatory health care services,8
ns,Colchester,truro,Ambulatory health care services,1
ns,Lunenburg,bridgewater,Nursing and residential care facilities,2
mb,Division No. 16,russell,Hospitals,1
yt,Yukon,haines junction,Ambulatory health care services,1
on,Durham,uxbridge,Nursing and residential care facilities,3
on,Cochrane,timmins,Nursing and residential care facilities,8
sk,Division No.  8,swift current,Hospitals,1
on,Niagara,thorold,Nursing and residential care facilities,1
bc,Alberni-Clayoquot,port alberni,Ambulatory health care services,1
on,Prescott and Russell,hawkesbury,Nursing and residential care facilities,4
bc,Thompson-Nicola,merritt,Hospitals,1
qc,Abitibi,barraute,Ambulatory health care services,1
qc,Le Val-Saint-François,richmond,Nursing and residential care facilities,1
qc,Deux-Montagnes,deux-montagnes,Nursing and residential care facilities,2
sk,Division No. 11,lanigan,Nursing and residential care facilities,1
sk,Unknown,kipling,Ambulatory health care services,2
qc,Nord-du-Québec,akulivik,Ambulatory health care services,1
qc,Nord-du-Québec,waskaganish,Ambulatory health care services,2
sk,Division No.  5,kipling,Ambulatory health care services,1
on,York,whitchurch-stouffville,Nursing and residential care facilities,5
sk,Unknown,biggar,Nursing and residential care facilities,1
qc,Deux-Montagnes,saint-eustache,Ambulatory health care services,4
sk,Division No.  2,fillmore,Nursing and residential care facilities,1
on,Niagara,grimsby,Hospitals,1
qc,Charlevoix-Est,saint-siméon,Ambulatory health care services,2
sk,Division No. 11,warman,Nursing and residential care facilities,1
ns,Kings,kentville,Nursing and residential care facilities,3
qc,Québec,notre-dame-des-anges,Nursing and residential care facilities,1
qc,Portneuf,saint-casimir,Nursing and residential care facilities,1
qc,La Rivière-du-Nord,saint-jérôme,Ambulatory health care services,9
qc,Nord-du-Québec,kuujjuarapik,Ambulatory health care services,1
mb,Division No. 18,st laurent,Ambulatory health care services,1
on,"Stormont, Dundas and Glengarry",alexandria,Hospitals,1
on,Algoma,sault ste marie,Hospitals,2
ns,Guysborough,guysborough,Nursing and residential care facilities,1
on,Algoma,elliot lake,Ambulatory health care services,3
ab,Unknown,magrath,Hospitals,1
bc,Peace River,chetwynd,Ambulatory health care services,1
qc,La Haute-Gaspésie,cap-chat,Ambulatory health care services,2
qc,Rivière-du-Loup,saint-cyprien,Ambulatory health care services,1
ab,Unknown,sylvan lake,Nursing and residential care facilities,1
on,Toronto,toronto,Ambulatory health care services,151
sk,Division No.  5,moosomin,Hospitals,1
sk,Division No.  9,norquay,Nursing and residential care facilities,2
on,Cochrane,moose factory,Ambulatory health care services,1
qc,Francheville,trois-rivières,Ambulatory health care services,14
bc,Sunshine Coast,sechelt,Hospitals,1
qc,Manicouagan,baie-comeau,Ambulatory health care services,1
sk,Unknown,humboldt,Hospitals,1
pe,Queens,crapaud,Ambulatory health care services,1
sk,Unknown,regina,Nursing and residential care facilities,8
qc,Memphrémagog,potton,Ambulatory health care services,2
on,Grey,holland centre,Ambulatory health care services,1
sk,Division No.  4,shaunavon,Hospitals,1
qc,Sept-Rivières--Caniapiscau,sept-îles,Ambulatory health care services,4
qc,Brome-Missisquoi,farnham,Ambulatory health care services,2
qc,Montréal,mont-royal,Ambulatory health care services,1
on,Dufferin,orangeville,Hospitals,1
on,Huron,clinton,Nursing and residential care facilities,1
nb,Westmorland,memramcook,Nursing and residential care facilities,1
on,Oxford,tillsonburg,Nursing and residential care facilities,5
sk,Division No. 16,shellbrook,Ambulatory health care services,1
sk,Division No. 14,hudson bay,Hospitals,1
mb,Division No.  5,hartney,Hospitals,1
sk,Unknown,lucky lake,Nursing and residential care facilities,1
qc,Charlevoix,baie-saint-paul,Ambulatory health care services,3
bc,Greater Vancouver,langley,Hospitals,1
nb,Charlotte,grand manan,Hospitals,1
bc,Sunshine Coast,gibsons,Ambulatory health care services,1
qc,Sept-Rivières--Caniapiscau,schefferville,Ambulatory health care services,1
bc,Peace River,dawson creek,Ambulatory health care services,2
qc,Le Domaine-du-Roy,roberval,Ambulatory health care services,4
on,Bruce,wiarton,Ambulatory health care services,1
on,York,king city,Nursing and residential care facilities,1
qc,La Rivière-du-Nord,sainte-sophie,Nursing and residential care facilities,1
qc,Abitibi,rochebaucourt,Ambulatory health care services,1
ab,Division No.  7,daysland,Hospitals,1
on,Kenora,dalles,Ambulatory health care services,1
on,Bruce,wiarton,Hospitals,1
on,Lanark,smiths falls,Hospitals,1
qc,Le Val-Saint-François,windsor,Ambulatory health care services,2
bc,Central Coast,waglisla,Hospitals,1
qc,Lac-Saint-Jean-Est,métabetchouan--lac-à-la-croix,Ambulatory health care services,1
mb,Division No. 18,gimli,Hospitals,1
ns,Cumberland,amherst,Nursing and residential care facilities,5
on,Algoma,thessalon,Hospitals,1
bc,Unknown,oliver,Nursing and residential care facilities,1
on,Halton,oakville,Nursing and residential care facilities,22
qc,Rivière-du-Loup,rivière-du-loup,Hospitals,1
nl,Unknown,st brendans,Ambulatory health care services,1
bc,Fraser-Fort George,mcbride,Hospitals,1
mb,Division No. 18,ashern,Hospitals,1
qc,Beauharnois-Salaberry,beauharnois,Nursing and residential care facilities,1
qc,Longueuil,longueuil,Nursing and residential care facilities,14
qc,Le Haut-Saint-Laurent,huntingdon,Ambulatory health care services,1
qc,La Haute-Côte-Nord,les escoumins,Hospitals,1
nb,Gloucester,bathurst,Hospitals,1
sk,Division No.  5,grenfell,Nursing and residential care facilities,1
mb,Division No.  6,virden,Hospitals,1
ns,Colchester,truro,Hospitals,1
nb,Restigouche,campbellton,Nursing and residential care facilities,1
sk,Unknown,green lake,Ambulatory health care services,1
qc,Québec,québec,Ambulatory health care services,40
mb,Division No. 20,benito,Ambulatory health care services,1
ab,Division No. 11,redwater,Hospitals,1
qc,Nord-du-Québec,lebel-sur-quévillon,Hospitals,1
on,Durham,oshawa,Hospitals,2
nb,York,fredericton,Nursing and residential care facilities,4
bc,Cowichan Valley,ladysmith,Hospitals,1
ns,Halifax,halifax,Ambulatory health care services,1
bc,Thompson-Nicola,clearwater,Hospitals,1
on,Bruce,lucknow,Nursing and residential care facilities,3
on,York,newmarket,Nursing and residential care facilities,9
qc,Brome-Missisquoi,farnham,Nursing and residential care facilities,2
mb,Division No. 22,norway house,Hospitals,1
on,Haliburton,haliburton,Ambulatory health care services,3
on,Waterloo,cambridge,Hospitals,1
qc,Nord-du-Québec,puvirnituq,Hospitals,1
qc,Unknown,montréal,Hospitals,5
on,Thunder Bay,thunder bay,Nursing and residential care facilities,16
nb,Charlotte,st. andrews,Nursing and residential care facilities,1
nb,Kings,sussex,Nursing and residential care facilities,1
on,Sudbury,noã«lville,Nursing and residential care facilities,1
qc,Témiscouata,saint-michel-du-squatec,Hospitals,1
on,Waterloo,kitchener,Hospitals,2
on,"Stormont, Dundas and Glengarry",morrisburg,Ambulatory health care services,1
qc,Joliette,saint-charles-borromée,Nursing and residential care facilities,1
qc,L'Île-d'Orléans,saint-pierre-de-l'île-d'orléans,Ambulatory health care services,2
on,Middlesex,strathroy,Hospitals,1
mb,Division No.  6,n reston,Hospitals,1
mb,Division No. 14,stonewall,Ambulatory health care services,1
qc,Thérèse-De Blainville,sainte-thérèse,Hospitals,1
qc,La Côte-de-Gaspé,murdochville,Hospitals,1
sk,Unknown,moose jaw,Nursing and residential care facilities,1
ab,Division No. 11,stony plain,Hospitals,1
ns,Halifax,dartmouth,Hospitals,3
on,Thunder Bay,geraldton,Ambulatory health care services,1
bc,Unknown,kelowna,Nursing and residential care facilities,3
qc,Thérèse-De Blainville,boisbriand,Ambulatory health care services,1
qc,Le Haut-Richelieu,saint-jean-sur-richelieu,Ambulatory health care services,6
nb,Victoria,plaster rock,Nursing and residential care facilities,1
on,Waterloo,new hamburg,Nursing and residential care facilities,1
nl,Unknown,botwood,Nursing and residential care facilities,1
sk,Division No.  8,swift current,Ambulatory health care services,1
ab,Unknown,la crete,Nursing and residential care facilities,1
nu,Qikiqtaaluk,iqaluit,Hospitals,1
sk,Unknown,spiritwood,Hospitals,2
ab,Unknown,airdrie,Hospitals,1
bc,Central Okanagan,west kelowna,Ambulatory health care services,4
bc,Northern Rockies,fort nelson,Ambulatory health care services,1
qc,Témiscouata,pohénégamook,Hospitals,1
on,Algoma,bruce mines,Nursing and residential care facilities,1
on,Waterloo,elmira,Ambulatory health care services,1
on,Ottawa,ottawa,Hospitals,10
on,Algoma,thessalon,Nursing and residential care facilities,1
nl,Unknown,springdale,Nursing and residential care facilities,1
on,Westmorland,moonbeam,Nursing and residential care facilities,1
sk,Division No.  1,wawota,Hospitals,1
nb,Victoria,plaster rock,Hospitals,1
qc,Manicouagan,chute-aux-outardes,Ambulatory health care services,1
qc,Le Haut-Saint-Laurent,ormstown,Hospitals,1
qc,Unknown,amos,Hospitals,1
qc,Brome-Missisquoi,bedford,Ambulatory health care services,1
ab,Division No. 12,elk point,Hospitals,1
qc,Rouville,saint-césaire,Nursing and residential care facilities,1
nl,Division No.  8,st albans,Ambulatory health care services,1
on,Peel,brampton,Hospitals,2
nl,Division No.  6,gander,Hospitals,1
ab,Unknown,calgary,Nursing and residential care facilities,37
bc,Capital,saanichton,Ambulatory health care services,1
sk,Division No. 11,langham,Nursing and residential care facilities,1
ab,Division No.  7,castor,Hospitals,1
nl,Division No.  1,st johns,Hospitals,4
sk,Division No. 15,duck lake,Nursing and residential care facilities,1
ab,Unknown,bashaw,Hospitals,1
on,Perth,listowel,Hospitals,1
ab,Division No.  7,provost,Hospitals,1
qc,Vaudreuil-Soulanges,vaudreuil-dorion,Nursing and residential care facilities,2
mb,Division No. 15,erickson,Hospitals,1
sk,Division No. 17,lloydminster,Hospitals,1
sk,Division No.  3,ponteix,Nursing and residential care facilities,1
on,Niagara,niagara-on-the-lake,Ambulatory health care services,2
nl,Division No.  8,fogo,Hospitals,1
bc,Okanagan-Similkameen,princeton,Nursing and residential care facilities,2
ns,Yarmouth,yarmouth,Nursing and residential care facilities,1
ab,Unknown,leduc,Nursing and residential care facilities,2
yt,Yukon,mayo,Ambulatory health care services,1
mb,Division No.  7,wawanesa,Hospitals,1
on,Halton,,Nursing and residential care facilities,53
qc,Maskinongé,,Ambulatory health care services,4
on,Peterborough,,Nursing and residential care facilities,22
sk,Unknown,,Nursing and residential care facilities,36
bc,Cariboo,,Hospitals,3
qc,Témiscouata,,Hospitals,3
qc,Pontiac,,Hospitals,1
qc,Charlevoix,,Nursing and residential care facilities,1
nb,Saint John,,Hospitals,4
qc,Rouyn-Noranda,,Hospitals,2
qc,Shawinigan,,Hospitals,5
bc,Greater Vancouver,,Ambulatory health care services,121
sk,Division No.  8,,Hospitals,3
on,Cochrane,,Nursing and residential care facilities,16
nb,Kings,,Hospitals,1
qc,Minganie--Le Golfe-du-Saint-Laurent,,Ambulatory health care services,16
qc,Bonaventure,,Nursing and residential care facilities,3
qc,Avignon,,Nursing and residential care facilities,2
ab,Division No.  5,,Hospitals,4
on,Algoma,,Ambulatory health care services,25
sk,Division No.  9,,Nursing and residential care facilities,8
qc,Deux-Montagnes,,Ambulatory health care services,5
qc,Mirabel,,Ambulatory health care services,2
nl,Division No.  1,,Hospitals,7
nl,Division No.  8,,Ambulatory health care services,4
nb,Albert,,Ambulatory health care services,2
on,Simcoe,,Ambulatory health care services,35
on,Peel,,Hospitals,4
bc,Nanaimo,,Nursing and residential care facilities,36
qc,Montmagny,,Ambulatory health care services,5
on,Oxford,,Nursing and residential care facilities,20
pe,Queens,,Nursing and residential care facilities,33
nb,Westmorland,,Ambulatory health care services,11
qc,Beauharnois-Salaberry,,Hospitals,1
on,Westmorland,,Nursing and residential care facilities,1
ns,Kings,,Hospitals,1
bc,Fraser-Fort George,,Hospitals,3
qc,Rouyn-Noranda,,Ambulatory health care services,8
qc,Les Laurentides,,Ambulatory health care services,6
qc,Gatineau,,Nursing and residential care facilities,14
mb,Division No. 20,,Ambulatory health care services,1
qc,Rivière-du-Loup,,Hospitals,2
mb,Division No. 22,,Hospitals,2
nb,Victoria,,Nursing and residential care facilities,3
mb,Division No. 11,,Ambulatory health care services,2
qc,Les Basques,,Hospitals,1
on,Northumberland,,Nursing and residential care facilities,22
nb,Westmorland,,Nursing and residential care facilities,70
on,Durham,,Ambulatory health care services,19
bc,Cariboo,,Ambulatory health care services,4
mb,Division No. 20,,Hospitals,2
on,Nipissing,,Hospitals,3
on,Hamilton,,Nursing and residential care facilities,60
mb,Division No. 19,,Hospitals,1
qc,La Nouvelle-Beauce,,Ambulatory health care services,2
bc,Kootenay Boundary,,Nursing and residential care facilities,7
qc,La Côte-de-Gaspé,,Hospitals,5
qc,Abitibi,,Nursing and residential care facilities,2
qc,La Jacques-Cartier,,Nursing and residential care facilities,1
qc,L'Islet,,Ambulatory health care services,3
qc,Robert-Cliche,,Nursing and residential care facilities,1
on,Northumberland,,Hospitals,2
qc,La Tuque,,Hospitals,1
sk,Division No. 14,,Ambulatory health care services,4
on,Peel,,Nursing and residential care facilities,64
qc,Montmagny,,Nursing and residential care facilities,2
qc,Vaudreuil-Soulanges,,Ambulatory health care services,4
bc,Alberni-Clayoquot,,Ambulatory health care services,1
qc,Montréal,,Hospitals,91
nb,Gloucester,,Hospitals,4
qc,Deux-Montagnes,,Nursing and residential care facilities,4
on,Waterloo,,Ambulatory health care services,30
bc,Strathcona,,Nursing and residential care facilities,14
mb,Division No. 22,,Ambulatory health care services,4
qc,Témiscamingue,,Hospitals,2
ns,Kings,,Ambulatory health care services,2
nb,Charlotte,,Nursing and residential care facilities,5
mb,Division No.  3,,Hospitals,3
sk,Division No. 13,,Hospitals,6
sk,Division No. 13,,Ambulatory health care services,2
bc,Cowichan Valley,,Nursing and residential care facilities,21
on,Wellington,,Hospitals,5
on,Bruce,,Hospitals,6
bc,Bulkley-Nechako,,Hospitals,4
qc,Le Val-Saint-François,,Hospitals,1
on,Prescott and Russell,,Nursing and residential care facilities,25
mb,Division No. 12,,Hospitals,1
nu,Kitikmeot,,Hospitals,1
qc,Les Maskoutains,,Nursing and residential care facilities,7
qc,Shawinigan,,Ambulatory health care services,5
on,Huron,,Nursing and residential care facilities,14
qc,Acton,,Ambulatory health care services,1
qc,La Matapédia,,Nursing and residential care facilities,1
on,Lanark,,Hospitals,4
on,Algoma,,Hospitals,8
bc,Thompson-Nicola,,Ambulatory health care services,3
qc,Les Etchemins,,Hospitals,1
qc,Beauce-Sartigan,,Nursing and residential care facilities,3
qc,Charlevoix-Est,,Ambulatory health care services,6
on,Niagara,,Nursing and residential care facilities,64
nb,Westmorland,,Hospitals,3
sk,Division No. 18,,Ambulatory health care services,6
on,Timiskaming,,Ambulatory health care services,9
qc,Communauté maritime des Îles-de-la-Madeleine,,Hospitals,1
qc,La Vallée-de-l'Or,,Nursing and residential care facilities,4
ab,Division No. 17,,Hospitals,6
ab,Division No. 17,,Ambulatory health care services,1
on,Perth,,Hospitals,3
ns,Pictou,,Hospitals,2
on,Elgin,,Hospitals,1
on,Lambton,,Hospitals,2
ab,Unknown,,Nursing and residential care facilities,107
on,Grey,,Nursing and residential care facilities,21
bc,Central Coast,,Hospitals,1
on,Chatham-Kent,,Ambulatory health care services,12
sk,Division No. 16,,Hospitals,4
on,Parry Sound,,Hospitals,1
on,Leeds and Grenville,,Nursing and residential care facilities,18
qc,Acton,,Nursing and residential care facilities,1
qc,Les Basques,,Nursing and residential care facilities,1
nl,Division No.  1,,Ambulatory health care services,2
bc,Alberni-Clayoquot,,Nursing and residential care facilities,7
qc,Le Domaine-du-Roy,,Nursing and residential care facilities,4
qc,Le Saguenay-et-son-Fjord,,Ambulatory health care services,12
qc,Abitibi,,Ambulatory health care services,6
qc,La Mitis,,Hospitals,1
qc,La Haute-Côte-Nord,,Hospitals,2
bc,Bulkley-Nechako,,Ambulatory health care services,1
qc,Deux-Montagnes,,Hospitals,5
qc,Avignon,,Ambulatory health care services,6
on,Frontenac,,Nursing and residential care facilities,17
bc,Central Kootenay,,Nursing and residential care facilities,22
qc,La Haute-Gaspésie,,Nursing and residential care facilities,3
ns,Richmond,,Hospitals,1
